3,-600.59
25114207,143.17,-605.24
25114894,141.50,-605.24
25115593,139.92,-605.24
25116288,138.16,-605.24
25116981,136.58,-605.24
25117674,134.91,-605.24
25118367,133.24,-605.24
25119058,131.22,-605.24
25119761,129.20,-605.24
25120442,127.53,-605.24
25121149,125.42,-605.24
25121837,122.78,-605.24
25122526,120.06,-605.24
25123224,117.60,-605.24
25123916,114.35,-605.24
25124615,110.48,-605.24
25125296,106.26,-605.24
25125983,102.66,-605.24
25126686,98.00,-605.24
25127381,92.55,-605.24
25128086,87.19,-605.24
25128783,81.74,-605.24
25129470,76.90,-605.24
25130174,70.66,-605.24
25130873,64.69,-605.24
25131565,59.06,-605.24
25132262,53.44,-605.24
25132948,48.60,-605.24
25133647,43.77,-605.24
25134345,39.46,-605.24
25135044,35.16,-605.24
25135746,31.03,-605.24
25136429,28.12,-605.24
25137127,24.96,-605.24
25137813,21.88,-605.24
25138508,18.90,-605.24
25139200,16.26,-605.24
25139898,14.24,-605.24
25140596,11.78,-605.24
25141294,9.40,-605.24
25141983,7.38,-605.24
25142675,5.71,-605.24
25143366,3.78,-605.24
25144058,1.93,-605.24
25144749,0.35,-605.24
25145434,358.95,-605.24
25146133,357.10,-605.24
25146818,355.34,-605.24
25147509,353.76,-605.24
25148197,352.09,-605.24
25148899,350.42,-605.24
25149597,348.66,-605.24
25150290,347.08,-605.24
25150982,345.32,-599.20
25151678,343.74,-599.20
25152370,341.98,-599.20
25153068,340.31,-599.20
25153761,338.64,-599.20
25154446,336.80,-599.20
25155152,335.30,-599.20
25155849,333.63,-599.20
25156536,331.87,-599.20
25157235,329.94,-599.20
25157933,328.18,-599.20
25158626,326.69,-599.20
25159314,324.76,-599.20
25160016,322.82,-599.20
25160712,320.98,-599.20
25161410,319.13,-599.20
25162108,317.29,-599.20
25162800,315.18,-599.20
25163481,313.33,-599.20
25164178,311.31,-599.20
25164870,309.37,-599.20
25165558,307.09,-599.20
25166255,305.07,-599.20
25166940,302.87,-599.20
25167640,300.41,-599.20
25168327,298.39,-599.20
25169035,296.19,-599.20
25169738,293.82,-599.20
25170425,291.18,-599.20
25171123,288.72,-599.20
25171809,286.61,-599.20
25172494,283.97,-599.20
25173183,281.16,-599.20
25173870,278.44,-599.20
25174567,276.24,-599.20
25175259,273.34,-599.20
25175949,270.26,-599.20
25176643,267.45,-599.20
25177345,265.17,-599.20
25178049,262.18,-599.20
25178741,259.10,-599.20
25179432,256.20,-599.20
25180130,253.39,-599.20
25180816,250.84,-599.20
25181511,247.68,-599.20
25182202,244.78,-599.20
25182889,241.96,-599.20
25183581,239.24,-599.20
25184275,236.07,-599.20
25184967,233.17,-599.20
25185670,230.27,-599.20
25186358,227.11,-599.20
25187056,224.47,-599.20
25187743,221.75,-599.20
