Scanning I2C...
Device found at 0x36
Device found at 0x3C
AS5600 Ready.
timestamp_us,angle_deg,rpm
2700796,270.00,619.27
2701481,289.60,619.27
2702170,310.87,619.27
2702856,327.66,619.27
2703547,339.35,619.27
2704228,345.67,619.27
2704921,350.16,619.27
2705608,353.23,619.27
2706295,355.25,619.27
2706987,356.84,619.27
2707667,357.89,619.27
2708348,358.59,619.27
2709046,359.30,619.27
2709737,359.82,619.27
2710429,0.26,619.27
2711124,0.79,619.27
2711810,1.23,619.27
2712500,1.67,619.27
2713184,2.11,619.27
2713868,2.55,619.27
2714547,3.25,619.27
2715220,3.87,619.27
2715912,4.48,619.27
2716602,5.36,619.27
2717282,6.50,619.27
2717970,7.73,619.27
2718666,8.61,619.27
2719351,10.46,619.27
2720040,12.92,619.27
2720732,14.59,619.27
2721423,16.87,619.27
2722121,19.78,619.27
2722802,23.29,619.27
2723487,25.14,619.27
2724173,28.12,619.27
2724859,32.78,619.27
2725544,35.68,619.27
2726218,37.09,619.27
2726910,39.90,619.27
2727595,43.51,619.27
2728282,44.56,619.27
2728970,44.38,619.27
2729668,45.53,619.27
2730354,47.11,619.27
2731041,49.39,619.27
2731721,49.39,619.27
2732407,50.10,619.27
2733092,50.71,619.27
2733785,49.83,619.27
2734465,50.71,619.27
2735157,51.42,619.27
2735843,52.29,619.27
2736534,53.26,619.27
2737213,54.14,619.27
2737901,55.20,619.27
2738586,55.90,619.27
2739266,56.34,619.27
2739957,56.87,619.27
2740642,58.36,619.27
2741335,59.59,619.27
2742026,59.59,619.27
2742711,60.64,619.27
2743402,61.88,619.27
2744094,63.19,619.27
2744778,63.72,619.27
2745464,64.69,619.27
2746150,68.03,619.27
2746836,69.35,619.27
2747524,70.75,619.27
2748204,73.92,619.27
2748896,76.99,619.27
2749585,78.84,619.27
2750266,82.62,619.27
2750957,86.84,619.27
2751648,89.56,619.27
2752334,92.55,619.27
2753030,97.65,619.27
2753715,103.97,619.27
2754401,108.90,619.27
2755102,113.03,619.27
2755794,120.06,619.27
2756480,126.30,619.27
2757168,130.52,619.27
2757849,136.85,618.98
2758539,142.73,618.98
2759214,147.83,618.98
2759902,151.87,618.98
2760582,156.01,618.98
2761269,158.64,618.98
2761961,162.33,618.98
2762659,164.71,618.98
2763350,167.08,618.98
2764048,169.19,618.98
2764740,170.86,618.98
2765431,172.71,618.98
2766129,174.02,618.98
2766815,175.52,618.98
2767507,176.57,618.98
2768193,177.63,618.98
2768879,178.77,618.98
2769553,179.65,618.98
2770233,180.62,618.98
2770920,181.23,618.98
2771606,182.02,618.98
2772287,182.64,618.98
2772973,183.16,618.98
2773669,183.60,618.98
2774361,183.96,618.98
2775059,184.39,618.98
2775745,184.83,618.98
2776427,185.19,618.98
2777119,185.54,618.98
2777800,185.89,618.98
2778481,186.15,618.98
2779171,186.42,618.98
2779852,186.77,618.98
2780542,187.12,618.98
2781216,187.38,618.98
2781910,187.82,618.98
2782596,188.26,618.98
2783281,188.70,618.98
2783973,189.23,618.98
2784666,189.76,618.98
2785346,190.46,618.98
2786039,191.16,618.98
2786730,192.04,618.98
2787415,193.18,618.98
2788112,194.33,618.98
2788799,195.47,618.98
2789485,197.05,618.98
2790164,198.72,618.98
2790851,200.30,618.98
2791537,202.41,618.98
2792211,205.05,618.98
2792899,207.42,618.98
2793585,210.67,618.98
2794271,214.98,618.98
2794957,220.61,618.98
2795659,226.41,618.98
2796345,235.55,618.98
2797047,250.14,618.98
2797739,270.70,618.98
2798419,290.30,618.98
2799102,311.48,618.98
2799790,327.92,618.98
2800470,338.12,618.98
2801164,345.59,618.98
2801850,350.07,618.98
2802541,353.23,618.98
2803221,355.25,618.98
2803910,356.84,618.98
2804593,357.89,618.98
2805274,358.59,618.98
2805962,359.38,618.98
2806658,359.91,618.98
2807342,0.26,618.98
2808042,0.70,618.98
2808726,1.23,618.98
2809414,1.67,618.98
2810100,2.11,618.98
2810788,2.55,618.98
2811467,3.25,618.98
2812163,3.96,618.98
2812840,4.57,618.98
2813519,5.54,618.98
2814204,6.68,618.98
2814895,7.65,618.98
2815586,8.88,618.98
2816266,10.63,618.98
2816952,12.92,618.98
2817647,14.94,618.98
2818327,16.96,618.98
2819025,20.30,618.98
2819716,23.03,618.98
2820404,26.02,618.98
2821101,28.74,618.98
2821786,32.61,618.98
2822467,35.24,618.98
2823162,37.18,618.98
2823847,38.41,618.98
2824539,41.31,618.98
2825218,42.63,618.98
2825905,45.79,618.98
2826597,47.72,618.98
2827277,48.87,618.98
2827968,48.60,618.98
2828661,48.16,618.98
2829342,49.48,618.98
2830041,50.98,618.98
2830732,49.57,618.98
2831422,49.31,618.98
2832120,51.68,618.98
2832809,52.21,618.98
2833495,52.38,618.98
2834168,54.14,618.98
2834847,54.93,618.98
2835533,55.28,618.98
2836206,55.90,618.98
2836893,56.87,618.98
2837573,57.74,618.98
2838256,57.74,618.98
2838935,58.80,618.98
2839621,60.82,618.98
2840299,62.23,618.98
2840989,61.44,618.98
2841680,62.05,618.98
2842359,64.25,618.98
2843051,67.41,618.98
2843736,70.22,618.98
2844423,72.69,618.98
2845114,75.50,618.98
2845799,77.34,618.98
2846484,77.78,618.98
2847169,80.86,618.98
2847849,85.61,618.98
2848539,89.91,618.98
2849212,92.90,618.98
2849893,97.21,618.98
2850574,102.74,618.98
2851258,108.28,618.98
2851939,112.50,618.98
2852618,119.36,618.98
2853300,126.65,618.98
2853988,130.96,618.98
2854680,136.93,619.64
2855369,142.91,619.64
2856061,147.13,619.64
2856748,151.08,619.64
2857432,154.69,619.64
2858124,158.29,619.64
2858804,160.84,619.64
2859485,163.92,619.64
2860172,167.08,619.64
2860852,169.45,619.64
2861532,171.47,619.64
2862212,172.44,619.64
2862904,173.85,619.64
2863596,175.25,619.64
2864278,176.75,619.64
2864970,177.71,619.64
2865668,178.51,619.64
2866354,179.38,619.64
2867047,180.44,619.64
2867733,181.14,619.64
2868425,181.93,619.64
2869123,182.55,619.64
2869810,183.08,619.64
2870495,183.52,619.64
2871187,183.96,619.64
2871868,184.48,619.64
2872557,184.83,619.64
2873232,185.19,619.64
2873920,185.54,619.64
2874606,185.80,619.64
2875286,186.06,619.64
2875979,186.50,619.64
2876668,186.86,619.64
2877354,187.12,619.64
2878052,187.38,619.64
2878744,187.73,619.64
2879431,188.26,619.64
2880111,188.61,619.64
2880798,189.05,619.64
2881481,189.67,619.64
2882167,190.46,619.64
2882854,191.07,619.64
2883539,192.04,619.64
2884213,193.01,619.64
2884901,194.06,619.64
2885590,195.29,619.64
2886275,196.87,619.64
2886956,198.46,619.64
2887653,200.30,619.64
2888342,202.41,619.64
2889044,204.96,619.64
2889734,207.86,619.64
2890425,210.50,619.64
2891123,214.63,619.64
2891809,220.17,619.64
2892490,225.88,619.64
2893170,235.28,619.64
