ESP-ROM:esp32c3-api1-20210207
.03,0.00
12372616,173.41,0.00
12373305,173.06,0.00
12373991,172.79,0.00
12374669,172.35,0.00
12375347,171.91,0.00
12376031,171.47,0.00
12376703,170.95,0.00
12377381,170.42,0.00
12378071,169.72,0.00
12378755,168.93,0.00
12379438,168.13,0.00
12380133,167.52,0.00
12380815,166.90,0.00
12381504,166.11,0.00
12382193,165.06,0.00
12382881,164.00,0.00
12383563,162.95,0.00
12384252,162.16,0.00
12384927,161.37,0.00
12385618,160.22,0.00
12386301,159.17,0.00
12386989,157.76,0.00
12387673,156.53,0.00
12388362,155.65,0.00
12389045,154.51,0.00
12389724,153.19,0.00
12390396,151.79,0.00
12391080,150.82,0.00
12391752,149.68,0.00
12392430,148.71,0.00
12393120,146.60,0.00
12393803,144.84,0.00
12394492,143.44,0.00
12395166,143.00,0.00
12395850,142.21,0.00
12396537,140.89,0.00
12397220,140.45,0.00
12397898,139.57,0.00
12398581,137.90,0.00
12399264,136.67,0.00
12399946,134.82,0.00
12400635,132.89,0.00
12401318,131.66,0.00
12402013,131.04,0.00
12402689,130.34,0.00
12403380,129.55,0.00
12404075,128.58,0.00
12404759,127.09,0.00
12405445,126.04,0.00
12406127,124.80,0.00
12406798,123.84,0.00
12407477,123.05,0.00
12408154,122.52,0.00
12408825,121.46,0.00
12409504,120.41,0.00
12410187,119.62,0.00
12410876,118.65,0.00
12411559,117.95,0.00
12412247,116.02,0.00
12412925,115.58,0.00
12413618,114.43,0.00
12414296,112.68,0.00
12414977,111.88,0.00
12415663,111.53,0.00
12416341,109.69,0.00
12417028,108.63,0.00
12417700,107.49,0.00
12418381,106.44,0.00
12419070,105.64,0.00
12419748,103.97,0.00
12420432,103.18,0.00
12421126,102.92,0.00
12421815,102.04,0.00
12422503,99.67,0.00
12423191,98.44,0.00
12423879,98.00,0.00
12424566,97.73,0.00
