Scanning I2C...
Device found at 0x36
Device found at 0x3C
AS5600 Ready.
timestamp_us,angle_deg,rpm
3166883,129.46,0.00
3167564,129.02,0.00
3168246,128.58,0.00
3168929,128.14,0.00
3169606,127.53,0.00
3170293,126.91,0.00
3170977,126.21,0.00
3171671,125.60,0.00
3172354,124.89,0.00
3173041,124.10,0.00
3173720,123.49,0.00
3174411,122.78,0.00
3175091,122.17,0.00
3175776,121.64,0.00
3176458,121.03,0.00
3177146,120.59,0.00
3177824,120.06,0.00
3178516,119.53,0.00
3179204,118.83,0.00
3179887,118.21,0.00
3180573,117.60,0.00
3181256,116.81,0.00
3181938,116.10,0.00
3182621,115.40,0.00
3183308,114.70,0.00
3183996,113.91,0.00
3184690,113.38,0.00
3185373,112.85,0.00
3186062,112.24,0.00
3186739,111.62,0.00
3187425,111.18,0.00
3188114,110.74,0.00
3188792,110.13,0.00
3189484,109.60,0.00
3190172,108.90,0.00
3190854,108.28,0.00
3191545,107.49,0.00
3192234,106.87,0.00
3192922,106.17,0.00
3193610,105.56,0.00
3194293,104.94,0.00
3194964,104.41,0.00
3195655,103.89,0.00
3196338,103.45,0.00
3197026,103.01,0.00
3197708,102.48,0.00
3198391,102.13,0.00
3199085,101.69,0.00
3199762,101.07,0.00
3200443,100.63,0.00
3201131,100.02,0.00
3201814,99.49,0.00
3202502,98.79,0.00
3203184,98.35,0.00
3203854,97.82,0.00
3204536,97.38,0.00
3205224,96.94,0.00
3205910,96.59,0.00
3206591,96.33,0.00
3207279,96.15,0.00
3207955,95.89,0.00
3208637,95.62,0.00
3209324,95.45,0.00
3210018,95.19,0.00
3210694,94.83,0.00
3211376,94.66,0.00
3212064,94.31,0.00
3212740,94.13,0.00
3213426,93.87,0.00
3214119,93.78,0.00
3214797,93.78,0.00
3215487,93.87,0.00
3216170,93.96,0.00
3216853,94.22,0.00
3217535,94.48,0.00
3218212,94.83,0.00
3218905,95.10,0.00
3219580,95.36,0.00
3220262,95.62,0.00
3220950,96.06,0.00
3221632,96.42,0.00
3222317,96.77,0.00
3222999,97.21,0.00
3223688,97.82,0.00
3224370,98.53,0.00
3225064,99.32,0.00
3225740,100.28,0.00
3226424,101.25,0.00
3227119,102.57,0.00
3227797,103.80,0.00
3228485,104.94,0.00
3229173,106.26,0.00
3229848,107.49,0.00
3230531,108.72,0.00
3231211,109.69,0.00
3231888,110.92,0.00
3232571,111.88,0.00
3233249,113.03,0.00
3233932,114.26,0.00
3234609,115.58,0.00
3235298,117.07,0.00
3235980,118.56,0.00
3236675,119.88,0.00
3237358,121.46,0.00
3238047,122.96,0.00
3238729,124.37,0.00
3239418,125.42,0.00
3240101,126.56,0.00
3240781,127.53,0.00
3241452,128.14,0.00
3242136,128.94,0.00
3242813,129.55,0.00
3243496,130.25,0.00
3244179,130.96,0.00
3244851,131.57,0.00
3245528,132.36,0.00
3246205,133.07,0.00
3246881,133.68,0.00
3247565,134.30,0.00
3248247,134.91,0.00
3248934,135.26,0.00
3249620,135.62,0.00
3250306,135.79,0.00
3250994,135.88,0.00
3251689,135.88,0.00
3252366,135.88,0.00
3253064,135.88,0.00
3253741,135.79,0.00
3254426,135.70,0.00
3255102,135.70,0.00
3255786,135.62,0.00
3256469,135.53,0.00
3257158,135.53,0.00
3257836,135.44,0.00
3258519,135.26,0.00
3259196,134.91,0.00
3259879,134.56,0.00
3260567,134.12,0.00
